Tier,LeadID,Name,Company,Role,PersonaType,EmailTemplate,ContactChannel,ContactInfo,Notes,Status (not/yet/contacted/replied/closed),FollowUpDate,Response
WARM,27,Dhivya Suryadevara,Stripe,CFO,Communication Brand,Template A,LinkedIn,/in/dhivya-suryadevara,"Stripe's community infrastructure. Strategic acquisition possible.",not yet,,
WARM,31,Brian Chesky,Airbnb,Co-Founder & CEO,Communication Brand,Template A,Twitter,@bchesky,"Airbnb is community. Known brand/design appreciator.",not yet,,
WARM,38,Sahil Lavingia,Gumroad,Founder & CEO,Communication Brand,Template A,Twitter,@shl,"Creator commerce + community. Could spin up comms product.",not yet,,
WARM,42,Tommy Griffith,Clickminded,SEO & Domain Expert,Communication Brand,Template C,Twitter,@tommygriffith,"Domain valuation expert. Could broker deal or buy personally.",not yet,,
WARM,46,Tasneem Al-Sultan,500 Global (Middle East),Regional Director,Kuwait Market,Template B,LinkedIn,/in/tasneem-alsultan,"VC with Kuwait portfolio cos. Referral potential.",not yet,,
WARM,48,Meshal Al-Meshal,NTEC,CEO,Kuwait Market,Template B,LinkedIn,/in/meshal-almeshal,"Kuwait's sovereign tech investment arm.",not yet,,
WARM,50,Yasser Al-Marzouq,Kuwait E-Commerce Association,Chairman,Kuwait Market,Template B,LinkedIn,/in/yasser-almarzouq,"Heads e-commerce association – network of digital businesses.",not yet,,
WARM,54,Husain Al-Mutairi,Mindshare KW / Kuwait Tech,Founder,Kuwait Market,Template B,LinkedIn,/in/husainalmutairi,"Tech community organizer. Network access to Kuwait founders.",not yet,,
WARM,59,Hunter Walk,Homebrew (VC),Partner,Communication Brand,Template A,Twitter,@hunterwalk,"VC in community startups. Referral pipeline potential.",not yet,,
WARM,60,Ahmad Al-Fahad,KFAS,Director,Kuwait Market,Template B,LinkedIn,/in/ahmad-alfahad,"Kuwait science foundation – startup connections.",not yet,,
WARM,5,Nir Eyal,(Author & Entrepreneur),Author & Entrepreneur,Communication Brand,Template A,Twitter,@nireyal,"'Hooked' author. Behavior design + community. Gets domain value.",not yet,,
COLD,6,Mohammad Al-Humaidi,Petra Real Estate,Managing Director,Kuwait Market,Template B,LinkedIn,/in/mohammad-al-humaidi,"Kuwait real estate. Lower urgency but strong local fit.",not yet,,
COLD,9,Miguel de Icaza,(GitHub / Microsoft),Engineer & Open Source Leader,Communication Brand,Template A,Twitter,@migueldeicaza,"Open source comms tools. Possible side project.",not yet,,
COLD,12,Mohammad Al-Failakawi,Markaz (Kuwait Financial Centre),Senior Executive,Kuwait Market,Template B,LinkedIn,/in/mohammad-al-failakawi,"Financial institution – long-term brand asset buyer.",not yet,,
COLD,14,Tariq Al-Mutairi,Equate Group,CEO,Kuwait Market,Template B,LinkedIn,/in/tariq-al-mutairi,"Petrochemical giant – brand protection buyer.",not yet,,
COLD,16,Nasser Al-Sayer,Al Sayer Group,Chairman,Kuwait Market,Template B,LinkedIn,/in/nasser-alsayer,"Major conglomerate – digital asset portfolio buyer.",not yet,,
COLD,20,Waleed Al-Othman,Al-Othman Holding,Chairman,Kuwait Market,Template B,LinkedIn,/in/waleed-al-othman,"Holding company. Potential for new digital venture.",not yet,,
COLD,21,Roxanne Varza,Station F,Director,Communication Brand,Template A,Twitter,@roxannevarza,"Startup campus director – referral pipeline to founders.",not yet,,
COLD,22,Fahad Al-Rajaan,Gulf Bank of Kuwait,CEO,Kuwait Market,Template B,LinkedIn,/in/fahad-al-rajaan,"Bank launching digital products needs premium domain.",not yet,,
COLD,24,Bader Al-Kharafi,Mabanee / Kuwait Investment,Board Member,Kuwait Market,Template B,LinkedIn,/in/bader-alkharafi,"Prominent family – HNWI domain portfolio buyer.",not yet,,
COLD,26,Hamad Al-Abduljader,Kuwait Chamber of Commerce,Chairman,Kuwait Market,Template B,LinkedIn,/in/hamad-al-abduljader,"Chamber chairman – can refer members.",not yet,,
COLD,28,Yousef Al-Abdullah,KDIPA,Director General,Kuwait Market,Template B,LinkedIn,/in/yousef-alabdullah,"Investment promotion – connects foreign companies entering Kuwait.",not yet,,
COLD,29,Sarah Kunst,Cleo Capital,Managing Director,Communication Brand,Template A,Twitter,@sarahrenaeclark,"Invests in community startups. Portfolio referral.",not yet,,
COLD,30,Dr. Rana Al-Sabah,Kuwait Investment Authority,Senior Advisor,Kuwait Market,Template B,LinkedIn,/in/rana-alsabah,"Sovereign wealth fund. Strategic contact.",not yet,,
COLD,32,Ali Al-Mutairi,Fajr Centre,Founder,Kuwait Market,Template B,Twitter,@ali_almutairi,"Kuwait tech ecosystem builder. Referral network.",not yet,,
COLD,33,Simon Sinek,Optimism Company,Author & Founder,Communication Brand,Template A,Twitter,@simonsinek,"Leadership/communication brand. Community platform possible.",not yet,,
COLD,34,Nawaf Al-Dhubaib,Gulf Consult,President,Kuwait Market,Template B,LinkedIn,/in/nawaf-aldhubaib,"Consulting firm – digital presence upgrade.",not yet,,
COLD,36,Shihab Al-Hamad,Burgan Bank,CEO,Kuwait Market,Template B,LinkedIn,/in/shihab-al-hamad,"Kuwait bank – digital comms product launch.",not yet,,
COLD,37,Mohammed Al-Marzouq,Kuwait Ministry of Commerce,Undersecretary,Kuwait Market,Template B,LinkedIn,/in/mohammed-al-marzouq,"Government – could refer businesses.",not yet,,
COLD,39,Ahmad Al-Marzouq,KNPC,CEO,Kuwait Market,Template B,LinkedIn,/in/ahmad-almarzouq,"State petroleum – brand protection buyer.",not yet,,
COLD,40,John Coogan,Product Hunt / Community,Investor & Advisor,Communication Brand,Template A,Twitter,@johncoogan,"Community space insider. Referral potential.",not yet,,
COLD,41,Abdulmohsen Al-Abdulmohsen,Al-Abdulmohsen Group,Chairman,Kuwait Market,Template B,LinkedIn,/in/abdulmohsen-abdulmohsen,"Family conglomerate. Long-term asset buyer.",not yet,,
COLD,43,Faisal Al-Abdulla,Al-Faisal Holding,Vice Chairman,Kuwait Market,Template B,LinkedIn,/in/faisal-alabdulla,"Investment holding. Portfolio acquisition.",not yet,,
COLD,45,Abdulmohsen Al-Babtain,Al-Babtain Group,CEO,Kuwait Market,Template B,LinkedIn,/in/abdulmohsen-albabtain,"Telecom & tech conglomerate. Direct fit.",not yet,,
COLD,49,Ankur Warikoo,Warikoo Enterprises,Founder & Content Creator,Communication Brand,Template A,Twitter,@warikoo,"Massive community. Could use for course platform.",not yet,,
COLD,51,Jonathan Smalley,Yapster,Co-Founder & CEO,Communication Brand,Template A,LinkedIn,/in/jonathansmalley,"Employee comms platform. Competitor space.",not yet,,
COLD,52,Bader Al-Taweel,Kuwait Finance House,Senior Executive,Kuwait Market,Template B,LinkedIn,/in/bader-altaweel,"Islamic bank – digital banking domain need.",not yet,,
COLD,53,DJ Patil,Greycroft (ex-US CTO),Tech Investor,Communication Brand,Template A,Twitter,@dpatil,"Invests in data/comms. Strategic buyer perspective.",not yet,,
COLD,55,Ben Silbermann,Pinterest,Co-Founder & CEO,Communication Brand,Template A,Twitter,@bensilbermann,"Visual community platform. Expanding social features.",not yet,,
COLD,56,Omar Al-Omar,Kuwait Telecommunications (KEMS),CEO,Kuwait Market,Template B,LinkedIn,/in/omar-alomar,"Telecom – direct alignment with comms domain.",not yet,,
COLD,58,Ali Al-Zalzala,Sultan Center / Kuwait retail,CEO,Kuwait Market,Template B,LinkedIn,/in/ali-alzalzala,"Retail. Digital transformation domain need.",not yet,,
